id_colegio,internado,politica_uniforme,orientacion_religiosa,alumnos_matriculados,alumnos_prom_curso,genero,actividades_extra,apoyo_academico,deportes,idioma,infraestructura,programas
775,0,1,1,9,1,1,3,6,3,1,5,5
776,0,1,1,6,1,1,3,5,3,1,5,4
777,0,1,1,10,2,1,3,7,7,1,6,7
778,0,0,1,11,2,1,2,4,7,1,4,5
780,0,1,1,22,3,1,3,6,5,1,4,7
783,0,1,1,6,1,1,1,1,2,1,3,3
784,0,0,1,5,2,1,2,5,1,1,5,3
785,0,0,1,2,1,1,2,4,1,0,3,2
786,0,0,1,5,1,1,1,3,2,0,1,6
787,0,0,1,4,1,1,2,6,3,1,4,7
788,0,1,1,3,1,1,2,4,2,1,4,8
789,0,1,1,6,1,1,4,4,3,1,5,2
790,0,0,1,12,3,1,3,6,3,0,6,6
792,0,0,1,5,1,1,3,2,1,1,1,2
793,0,1,1,56,5,1,1,4,4,0,3,4
795,0,1,1,6,1,1,4,1,1,1,1,4
797,0,0,1,6,1,1,0,5,1,1,2,5
798,0,1,1,793,29,1,2,7,7,1,10,7
799,0,1,1,619,28,1,3,7,5,2,8,7
800,0,1,1,153,15,1,3,4,3,1,5,6
802,0,1,1,535,29,1,4,6,8,1,7,6
803,0,1,1,188,18,1,4,7,7,1,7,6
804,0,0,1,204,22,1,3,5,1,1,6,6
805,0,0,1,5,1,1,1,4,1,1,2,4
806,0,1,1,18,3,1,1,4,1,1,4,6
807,0,0,1,2,1,1,5,5,1,1,5,7
809,0,1,1,9,2,1,0,4,5,1,5,3
810,0,1,1,11,2,1,3,4,2,1,4,6
812,0,1,1,13,2,1,2,3,3,1,2,3
813,0,0,1,8,1,1,0,1,2,1,2,5
814,0,0,1,12,2,1,1,1,2,1,3,3
816,0,0,1,3,1,1,1,5,4,1,4,7
817,0,0,1,14,2,1,2,1,2,2,3,7
818,0,1,1,5,1,1,3,3,6,2,5,5
819,0,1,1,6,1,1,0,2,1,1,2,3
