mrun;cod_nivel;rbd_admitido;cod_curso_admitido
370637;3;1909;311000000231
371188;9;6753;131000000133
371243;2;25599;211000000131
371675;5;25331;511000000131
372090;6;1516;611000000133
372741;8;3251;811000000133
373264;7;22688;711000000133
373374;1;15627;111000000133
373876;10;12602;231000000133
374409;9;12111;131000000133
374478;7;10272;711000000133
374642;12;13582;451052010133
374851;1;7958;111000000133
375116;9;3641;131000000133
375989;10;7973;231000000133
376036;9;3539;131000000133
377652;9;24444;131000000131
377694;8;691;811000000133
378477;9;16462;131000000133
378506;7;11265;711000000133
378628;6;10712;611000000133
378910;3;10686;311000000133
378951;2;25101;211000000133
379011;7;31190;711000000133
379660;7;12860;711000000131
379896;9;25386;131000000133
379988;7;13561;711000000133
380089;4;8706;411000000233
380095;10;22664;231000000133
381914;4;16446;411000000133
382118;7;12095;711000000133
382122;6;9892;611000000133
383929;9;3305;131000000133
384529;11;25709;331000000133
384725;9; ; 
384937;4;1130;411000000133
385242;7;8;711000000133
387102;6;5716;611000000131
387941;1;535;111000000133
388339;7;6766;711000000133
388638;2;1377;211000000133
388926;4;9368;411000000133
389104;11;7128;331000000133
389602;6; ; 
390415;9;1672;131000000133
390502;8;9072;811000000133
390833;9;516;131000000133
391609;6;4737;611000000131
391781;4;5128;411000000113
391801;2;536;211000000133
392323;11;12591;331000000133
392330;9;2375;131000000133
392364;5;3267;511000000133
392444;2;20082;211000000131
392700;5;1449;511000000133
392798;8;1570;811000000133
394288;3;10901;311000000133
395004;9;9472;131000000133
396109;3;4616;311000000133
396275;2;9013;211000000133
396419;7;1520;711000000133
397722;10;9959;231000000133
397771;9;6584;131000000133
398153;9;20127;131000000133
398368;12;279;451054018133
401087;2;10748;211000000132
401782;9;15646;131000000133
404869;11;9071;331000000131
405386;4;17652;411000000133
405596;9;12242;131000000133
405627;12;5957;431000000133
405835;4;131;411000000131
406088;9;2123;131000000133
406945;12;22113;431000000133
407286;5;16685;511000000133
407417;6;24229;611000000133
407545;7;5289;711000000133
407581;4;6304;411000000133
408550;11;9406;331000000123
409545;2;2942;211000000132
409847;2;3797;211000000133
410030;4;6190;411000000133
410244;9;20095;131000000133
410428;9;7299;131000000133
410492;9; ; 
410745;10;11712;231000000133
411307;9;4708;131000000133
412144;6;9948;611000000131
412295;2;7659;211000000133
412685;2;2121;211000000112
412969;10;8822;231000000133
413065;6;18199;611000000233
413656;5;9206;511000000133
413910;3;12547;311000000133
414291;12;3296;471072007133
415001;7;7325;711000000133
415207;12;8819;431000000133
416478;9;5666;131000000132
416682;5;2993;511000000133
417088;2;9869;211000000133
417444;3;4506;311000000133
417649;7;9874;711000000133
417993;9;16564;131000000133
418124;4;716;411000000133
418390;1;20449;111000000132
419009;3;24889;311000000133
419158;4;9810;411000000133
419276;5;9890;511000000131
421351;2;13177;211000000133
421479;3;10173;311000000132
422787;11;7015;331000000133
422908;9;12830;131000000133
423197;11;22664;361061003133
423201;9;25950;131000000133
426145;8;25153;811000000133
426260;2;24226;211000000133
426410;10;10831;231000000133
426570;9;610;131000000131
427021;5;7131;511000000133
427091;4;9993;411000000133
427651;2;9366;211000000131
428253;3;12810;311000000133
428712;1;24431;111000000131
429724;4;9618;411000000133
432389;3;534;311000000133
432586;9;5703;131000000133
433076;2;1524;211000000133
433724;7;25396;711000000133
