mrun;nivel;rbd_admitido;cod_ense_admitido;cod_grado_admitido;respuesta_postulante;rbd_admitido_post_resp;cod_ense_admitido_post_resp;cod_grado_admitido_post_resp
7676909;9;8474;310;1;5;8474;310;1
7677216;9;8455;310;1;6;8455;310;1
7677241;-1;8434;10;4;5;8434;10;4
7678130;-1;8437;10;4;4; ; ; 
7688453;9;24319;310;1;7; ; ; 
7691094;9;8425;310;1;5;8425;310;1
7701627;-1;24329;10;4;5;24329;10;4
7706297;1;8438;110;1;6;8455;110;1
7715723;-1;8417;10;4;5;8417;10;4
7718507;0;8412;10;5;5;8412;10;5
7731735;-1;8457;10;4;5;8457;10;4
7732903;-1;8412;10;4;5;8412;10;4
7737782;-1;8421;10;4;5;8421;10;4
7742534;-1;8458;10;4;4; ; ; 
7754346;0;24329;10;5;5;24329;10;5
7769352;-1;24307;10;4;5;24307;10;4
7769891;-1;8483;10;4;3;8483;10;4
7779890;0;11678;10;5;3;11678;10;5
7812432;-1;8454;10;4;3;8454;10;4
7815571;-1;8458;10;4;5;8458;10;4
7817093;9;8429;310;1;5;8429;310;1
7819392;-1;24313;10;4;5;24313;10;4
7819681;9;8457;310;1;3;8457;310;1
7824070;-1;8436;10;4;5;8436;10;4
7834770;1;8433;110;1;7; ; ; 
7837917;9;8427;310;1;5;8427;310;1
7841957;7;24302;110;7;7; ; ; 
7852650;-1;24307;10;4;5;24307;10;4
7871914;-1;24329;10;4;5;24329;10;4
7873803;0;8434;10;5;4; ; ; 
7876223;-1;24338;10;4;5;24338;10;4
7877085;-1;24311;10;4;3;24311;10;4
7901671;1;8436;110;1;5;8436;110;1
7931964;9;8424;310;1;6;8424;310;1
7939876;0;8444;10;5;3;8444;10;5
7947188;9;8427;310;1;5;8427;310;1
7953312;9;24300;310;1;5;24300;310;1
7958698;9;8454;310;1;5;8454;310;1
7960341;9;24329;310;1;3;24329;310;1
7962891;-1;8483;10;4;5;8483;10;4
7962892;-1;24313;10;4;5;24313;10;4
7964360;-1;8413;10;4;5;8413;10;4
7966692;0;8437;10;5;4; ; ; 
7974180;9;8424;310;1;5;8424;310;1
7975166;9;11678;310;1;5;11678;310;1
7983893;-1;8437;10;4;7; ; ; 
7991705;-1;11680;10;4;5;11680;10;4
7995182;9;8424;310;1;4; ; ; 
8000750;9;24300;310;1;3;24300;310;1
8002532;1;24319;110;1;5;24319;110;1
8005720;9;11678;310;1;5;11678;310;1
8013747;9;8411;310;1;5;8411;310;1
8018100;9;8454;310;1;5;8454;310;1
8020710;0;8442;10;5;3;8442;10;5
8023726;-1;24302;10;4;4; ; ; 
8027747;1;8454;110;1;3;8454;110;1
8040035;-1;24313;10;4;5;24313;10;4
8044841;-1;24311;10;4;4; ; ; 
8049327;-1;8449;10;4;5;8449;10;4
8067833;1;24327;110;1;5;24327;110;1
8076543;0;24305;10;5;5;24305;10;5
8076710;9;24316;310;1;5;24316;310;1
8087351;9;8424;310;1;5;8424;310;1
8089359;9;8425;310;1;5;8425;310;1
8091312;9;24316;310;1;4; ; ; 
8092356;-1;8436;10;4;5;8436;10;4
8100158;9;8424;310;1;5;8424;310;1
8106416;9;8424;310;1;5;8424;310;1
8115521;9;8427;310;1;5;8427;310;1
8128589;-1;24313;10;4;5;24313;10;4
8133512;-1;11680;10;4;5;11680;10;4
8137955;-1;8475;10;4;5;8475;10;4
8137956;-1;24313;10;4;5;24313;10;4
8143862;-1;8412;10;4;3;8412;10;4
