rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;tiene_orden_pie;tiene_orden_alta_t
108;12;451052010133;510;4;3;52010;1;0;0;0;-20,2258;-70,148727;43;3;0;0;0;0;3;1;0;0
108;12;451052013133;510;4;3;52013;1;0;0;0;-20,2258;-70,148727;35;17;0;0;0;0;17;1;0;0
108;12;451053014133;510;4;3;53014;1;0;0;0;-20,2258;-70,148727;35;27;0;3;0;0;24;1;0;0
108;12;461061003133;610;4;3;61003;1;0;0;0;-20,2258;-70,148727;35;5;0;0;0;0;5;1;0;0
108;12;461064001133;610;4;3;64001;1;0;0;0;-20,2258;-70,148727;40;5;0;0;0;0;5;1;0;0
109;9;131000000133;310;1;3;0;1;0;0;0;-20,216949;-70,153381;70;62;0;11;0;0;51;1;0;0
109;10;231000000133;310;2;3;0;1;0;0;0;-20,216949;-70,153381;70;14;0;0;0;0;14;1;0;0
109;11;331000000133;310;3;3;0;1;0;0;0;-20,216949;-70,153381;35;30;0;4;0;0;26;1;0;0
109;11;341041005133;410;3;3;41005;1;0;0;0;-20,216949;-70,153381;35;18;0;0;0;0;18;1;0;0
109;11;361063010133;610;3;3;63010;1;0;0;0;-20,216949;-70,153381;35;22;0;0;0;0;22;1;0;0
109;11;361064001133;610;3;3;64001;1;0;0;0;-20,216949;-70,153381;35;26;0;1;0;0;25;1;0;0
109;12;441041005133;410;4;3;41005;1;0;0;0;-20,216949;-70,153381;35;16;0;0;0;0;16;1;0;0
109;12;451056027133;510;4;3;56027;1;0;0;0;-20,216949;-70,153381;35;21;0;0;0;0;21;1;0;0
109;12;461063010133;610;4;3;63010;1;0;0;0;-20,216949;-70,153381;35;24;0;3;0;0;21;1;0;0
109;12;461064001133;610;4;3;64001;1;0;0;0;-20,216949;-70,153381;35;12;0;0;0;0;12;1;0;0
110;-1;401000000133;10;4;3;0;1;0;0;0;-20,21759;-70,146912;70;70;0;11;0;0;59;1;0;0
110;0;501000000133;10;5;3;0;1;0;0;0;-20,21759;-70,146912;70;14;0;0;0;0;14;1;0;0
110;1;111000000133;110;1;3;0;1;0;0;0;-20,21759;-70,146912;70;17;0;0;0;0;17;1;0;0
110;2;211000000133;110;2;3;0;1;0;0;0;-20,21759;-70,146912;70;5;0;0;0;0;5;1;0;0
110;3;311000000133;110;3;3;0;1;0;0;0;-20,21759;-70,146912;70;7;0;0;0;0;7;1;0;0
